id,time,violation
akn00088,1,nothing
akn00088,2,nothing
akn00088,3,nothing
akn00088,4,nothing
akn00088,5,nothing
akn00088,6,nothing
akn00088,7,nothing
akn00088,8,nothing
akn00088,9,nothing
akn00088,10,nothing
akn00088,11,nothing
akn00088,12,nothing
akn00088,13,nothing
akn00088,14,nothing
akn00088,15,nothing
akn00088,16,nothing
akn00088,17,nothing
akn00088,18,nothing
akn00088,19,nothing
akn00088,20,nothing
akn00088,21,nothing
akn00088,22,nothing
akn00088,23,nothing
akn00088,24,nothing
akn00088,25,nothing
akn00088,26,nothing
akn00088,27,nothing
akn00088,28,nothing
akn00088,29,nothing
akn00088,30,nothing
akn00088,31,nothing
akn00088,32,nothing
akn00088,33,nothing
akn00088,34,nothing
akn00088,35,nothing
akn00088,36,nothing
akn00088,37,nothing
akn00088,38,nothing
akn00088,39,nothing
akn00088,40,nothing
akn00088,41,nothing
akn00088,42,nothing
akn00088,43,nothing
akn00088,44,nothing
akn00088,45,nothing
akn00088,46,nothing
akn00088,47,nothing
akn00088,48,nothing
akn00088,49,nothing
akn00088,50,nothing
akn00088,51,nothing
akn00088,52,nothing
akn00088,53,nothing
akn00088,54,nothing
akn00088,55,nothing
akn00088,56,nothing
akn00088,57,nothing
akn00088,58,nothing
akn00088,59,nothing
akn00088,60,nothing
akn00088,61,nothing
akn00088,62,nothing
akn00088,63,nothing
akn00088,64,nothing
akn00088,65,nothing
akn00088,66,nothing
akn00088,67,nothing
akn00088,68,nothing
akn00088,69,nothing
akn00088,70,nothing
akn00088,71,nothing
akn00088,72,nothing
akn00088,73,nothing
akn00088,74,nothing
akn00088,75,nothing
akn00088,76,nothing
akn00088,77,nothing
akn00088,78,nothing
akn00088,79,nothing
akn00088,80,nothing
akn00088,81,nothing
akn00088,82,nothing
akn00088,83,nothing
akn00088,84,nothing
akn00088,85,nothing
akn00088,86,nothing
akn00088,87,nothing
akn00088,88,nothing
akn00088,89,nothing
akn00088,90,nothing
akn00088,91,nothing
akn00088,92,nothing
akn00088,93,nothing
akn00088,94,nothing
akn00088,95,nothing
akn00088,96,nothing
akn00088,97,nothing
akn00088,98,nothing
akn00088,99,nothing
akn00088,100,nothing
akn00088,101,nothing
akn00088,102,nothing
akn00088,103,nothing
akn00088,104,nothing
akn00088,105,nothing
akn00088,106,nothing
akn00088,107,nothing
akn00088,108,nothing
akn00088,109,nothing
akn00088,110,nothing
akn00088,111,nothing
akn00088,112,nothing
akn00088,113,nothing
akn00088,114,nothing
akn00088,115,nothing
akn00088,116,nothing
akn00088,117,nothing
akn00088,118,nothing
akn00088,119,nothing
akn00088,120,nothing
akn00088,121,nothing
akn00088,122,nothing
akn00088,123,nothing
akn00088,124,nothing
akn00088,125,nothing
akn00088,126,nothing
akn00088,127,nothing
akn00088,128,nothing
akn00088,129,nothing
akn00088,130,nothing
akn00088,131,nothing
akn00088,132,nothing
akn00088,133,nothing
akn00088,134,nothing
akn00088,135,nothing
akn00088,136,nothing
akn00088,137,nothing
akn00088,138,nothing
akn00088,139,nothing
akn00088,140,nothing
akn00088,141,nothing
akn00088,142,nothing
akn00088,143,nothing
akn00088,144,nothing
akn00088,145,nothing
akn00088,146,nothing
akn00088,147,nothing
akn00088,148,nothing
akn00088,149,nothing
akn00088,150,nothing
akn00088,151,nothing
akn00088,152,nothing
akn00088,153,nothing
akn00088,154,nothing
akn00088,155,nothing
akn00088,156,nothing
akn00088,157,nothing
akn00088,158,nothing
akn00088,159,nothing
akn00088,160,nothing
akn00088,161,nothing
akn00088,162,nothing
akn00088,163,nothing
akn00088,164,nothing
akn00088,165,nothing
akn00088,166,nothing
akn00088,167,nothing
akn00088,168,nothing
akn00088,169,nothing
akn00088,170,nothing
akn00088,171,nothing
akn00088,172,nothing
akn00088,173,nothing
akn00088,174,nothing
akn00088,175,nothing
akn00088,176,nothing
akn00088,177,nothing
akn00088,178,nothing
akn00088,179,nothing
akn00088,180,nothing
akn00088,181,nothing
akn00088,182,nothing
akn00088,183,nothing
akn00088,184,nothing
akn00088,185,nothing
akn00088,186,nothing
akn00088,187,nothing
akn00088,188,nothing
akn00088,189,nothing
akn00088,190,nothing
akn00088,191,nothing
akn00088,192,nothing
akn00088,193,nothing
akn00088,194,nothing
akn00088,195,nothing
akn00088,196,nothing
akn00088,197,nothing
akn00088,198,nothing
akn00088,199,nothing
akn00088,200,nothing
akn00088,201,nothing
akn00088,202,nothing
akn00088,203,nothing
akn00088,204,nothing
akn00088,205,nothing
akn00088,206,nothing
akn00088,207,nothing
akn00088,208,nothing
akn00088,209,nothing
akn00088,210,nothing
akn00088,211,nothing
akn00088,212,nothing
akn00088,213,nothing
akn00088,214,nothing
akn00088,215,nothing
akn00088,216,nothing
akn00088,217,nothing
akn00088,218,nothing
akn00088,219,nothing
akn00088,220,nothing
akn00088,221,nothing
akn00088,222,nothing
akn00088,223,nothing
akn00088,224,nothing
akn00088,225,nothing
akn00088,226,nothing
akn00088,227,"Статья 12.15 часть 4 Выезд в нарушение правил дорожного движения на полосу, предназначенную для встречного движения, при объезде препятствия, либо на трамвайные пути встречного направления, за исключением случаев, предусмотренных частью 3 настоящей статьи"
akn00088,228,"Статья 12.15 часть 4 Выезд в нарушение правил дорожного движения на полосу, предназначенную для встречного движения, при объезде препятствия, либо на трамвайные пути встречного направления, за исключением случаев, предусмотренных частью 3 настоящей статьи"
akn00088,229,"Статья 12.15 часть 4 Выезд в нарушение правил дорожного движения на полосу, предназначенную для встречного движения, при объезде препятствия, либо на трамвайные пути встречного направления, за исключением случаев, предусмотренных частью 3 настоящей статьи"
akn00088,230,"Статья 12.15 часть 4 Выезд в нарушение правил дорожного движения на полосу, предназначенную для встречного движения, при объезде препятствия, либо на трамвайные пути встречного направления, за исключением случаев, предусмотренных частью 3 настоящей статьи"
akn00088,231,"Статья 12.15 часть 4 Выезд в нарушение правил дорожного движения на полосу, предназначенную для встречного движения, при объезде препятствия, либо на трамвайные пути встречного направления, за исключением случаев, предусмотренных частью 3 настоящей статьи"
akn00088,232,"Статья 12.15 часть 4 Выезд в нарушение правил дорожного движения на полосу, предназначенную для встречного движения, при объезде препятствия, либо на трамвайные пути встречного направления, за исключением случаев, предусмотренных частью 3 настоящей статьи"
akn00088,233,"Статья 12.15 часть 4 Выезд в нарушение правил дорожного движения на полосу, предназначенную для встречного движения, при объезде препятствия, либо на трамвайные пути встречного направления, за исключением случаев, предусмотренных частью 3 настоящей статьи"
akn00088,234,"Статья 12.15 часть 4 Выезд в нарушение правил дорожного движения на полосу, предназначенную для встречного движения, при объезде препятствия, либо на трамвайные пути встречного направления, за исключением случаев, предусмотренных частью 3 настоящей статьи"
akn00088,235,"Статья 12.15 часть 4 Выезд в нарушение правил дорожного движения на полосу, предназначенную для встречного движения, при объезде препятствия, либо на трамвайные пути встречного направления, за исключением случаев, предусмотренных частью 3 настоящей статьи"
